stshortname,stname,stcode,stdate1,stdate2,stroadname,stroadcode,stcountry,stcountrycode
ВЫБОРГ-ПЕРЕВ,ВЫБОРГ-ПЕРЕВАЛКА,2340,18.09.2000,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
КАЛАШНИКОВО,КАЛАШНИКОВО,6230,01.08.2000,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
ДОБЫВАЛОВО,ДОБЫВАЛОВО,5510,01.08.2000,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
СРЕДНЕРОГАТС,СРЕДНЕРОГАТСКАЯ,3490,16.10.2000,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
ЛЕВАШОВО,ЛЕВАШОВО,3880,01.08.2000,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
РУДНИЧНАЯ,РУДНИЧНАЯ,7310,01.08.2000,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
ВЫБОР(ЭКС),ВЫБОРГ (ЭКСП.),2010,24.08.2006,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
ЛУЖСКАЯ-ПАР.,ЛУЖСКАЯ (ПАРОМ),7660,25.08.2006,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
БОЛЬШ. ИЖОРА,БОЛЬШАЯ ИЖОРА,7520,01.08.2000,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
ПИНОЗЕРО,ПИНОЗЕРО,1510,01.08.2000,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
ЕРМИЛОВО,ЕРМИЛОВО,2020,01.08.2000,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
ОСЕЧЕНКА,ОСЕЧЕНКА,6250,01.08.2000,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
КЯППЕСЕЛЬГА,КЯППЕСЕЛЬГА,1100,01.08.2000,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
ПРИВЕТНЕНСК,ПРИВЕТНЕНСКОЕ,3970,01.08.2000,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
БОЛОГОЕ-МОСК,БОЛОГОЕ-МОСКОВСКОЕ,5000,01.08.2000,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
САЛА,САЛА,7340,01.08.2000,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
СУККОЗЕРО,СУККОЗЕРО,2700,01.08.2000,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
ИМАТОЗЕРО,ИМАТОЗЕРО,2560,01.08.2000,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
САПЕРНАЯ,САПЕРНАЯ,3070,01.08.2000,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
БУРГА,БУРГА,4150,01.08.2000,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
НЕВСКАЯ ДУБР,НЕВСКАЯ ДУБРОВКА,3660,01.08.2000,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
БОРИС.ГРИВА,БОРИСОВА ГРИВА,3630,01.08.2000,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
ПЯЖИЕВ.СЕЛЬГ,ПЯЖИЕВА СЕЛЬГА,4960,20.04.2005,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
КОМСОМОЛ-МУР,КОМСОМОЛЬСК-МУРМАНСКИЙ,1860,01.08.2000,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
БЕЛОЕ МОРЕ,БЕЛОЕ МОРЕ,1480,01.08.2000,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
ПРИМОРСК,ПРИМОРСК,2030,01.08.2000,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
ЗАПАД.ДВИНА,ЗАПАДНАЯ ДВИНА,6530,01.08.2000,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
ПОЛЯРН.ЗОРИ,ПОЛЯРНЫЕ ЗОРИ,1550,01.08.2000,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
КАМЕННОГОРСК,КАМЕННОГОРСК,2170,01.08.2000,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
АКОНЪЯРВИ,АКОНЪЯРВИ,2680,01.08.2000,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
СОБЛАГО,СОБЛАГО,6810,05.06.2006,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
КААЛАМО,КААЛАМО,2390,01.08.2000,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
СОНКОВО,СОНКОВО,5110,01.08.2000,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
ЕРЕМКОВО,ЕРЕМКОВО,5220,01.08.2000,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
МАКСАТИХА,МАКСАТИХА,5190,01.08.2000,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
ГЛАЖЕВО,ГЛАЖЕВО,4550,01.08.2000,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
ЧАГОДА,ЧАГОДА,4350,01.08.2000,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
КИРИШИ,КИРИШИ,4520,01.08.2000,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
МАЛУКСА,МАЛУКСА,4580,01.08.2000,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
ПИКАЛЕВО 2,ПИКАЛЕВО 2,4720,01.08.2000,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
ДНО,ДНО,5670,01.08.2000,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
ПОСЕЛОК,ПОСЕЛОК,5920,01.08.2000,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
КУВШИНОВО,КУВШИНОВО,6880,01.08.2000,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
ДВОРЕЦ,ДВОРЕЦ,5560,01.08.2000,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
ПОВАРОВО 1,ПОВАРОВО 1,6070,01.08.2000,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
ТВЕРЬ,ТВЕРЬ,6150,06.07.2000,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
РЖЕВ-БАЛТИЙС,РЖЕВ-БАЛТИЙСКИЙ,6300,01.08.2000,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
ЯНЕГА,ЯНЕГА,4920,01.08.2000,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
ПРИБЫЛОВО,ПРИБЫЛОВО,2040,01.08.2000,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
МЕЛЬН.РУЧЕЙ,МЕЛЬНИЧНЫЙ РУЧЕЙ,3610,01.08.2000,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
ИЖОРЫ,ИЖОРЫ,3080,01.08.2000,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
СОВЕТСКИЙ,СОВЕТСКИЙ,2050,01.08.2000,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
ЛУОСТАРИ,ЛУОСТАРИ,1790,01.08.2000,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
ВЫБОРГ,ВЫБОРГ,2000,01.08.2000,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
ВАЕНГА,ВАЕНГА,1900,01.08.2000,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
АНТРОПШИНО,АНТРОПШИНО,3240,01.08.2000,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
ТАЙЦЫ,ТАЙЦЫ,3420,01.08.2000,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
ГАТЧ-ТОВ-БАЛ,ГАТЧИНА-ТОВАРНАЯ-БАЛТИЙСКАЯ,3400,01.08.2000,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
ВЕРХНЕВОЛЬСК,ВЕРХНЕВОЛЬСКИЙ,4660,01.08.2000,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
ЧУДОВО-МОСК.,ЧУДОВО-МОСКОВСКОЕ,4200,01.08.2000,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
ЧАЛНА-ОНЕЖ.,ЧАЛНА-ОНЕЖСКАЯ,2530,01.01.1900,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
БОРОВЕНКА,БОРОВЕНКА,4110,01.08.2000,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
ТОРБИНО,ТОРБИНО,4120,01.08.2000,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
КУШАВЕРА,КУШАВЕРА,4380,08.04.2003,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
ХВОЙНАЯ,ХВОЙНАЯ,4390,08.04.2003,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
ЧЕРСКАЯ,ЧЕРСКАЯ,7030,10.04.2003,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
ПЯОЗЕРО,ПЯОЗЕРО,1410,10.10.2002,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
ЧУПА,ЧУПА,1430,01.08.2000,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
КЕСТЕНЬГА,КЕСТЕНЬГА,1400,08.04.2003,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
ПИТКЯРАНТА,ПИТКЯРАНТА,2480,09.04.2003,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
СТАР.ТОРОПА,СТАРАЯ ТОРОПА,6540,01.08.2000,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
ВАЛДАЙ,ВАЛДАЙ,5520,01.08.2000,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
ЗЕЛЕНОГОРСК,ЗЕЛЕНОГОРСК,3930,01.08.2000,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
БАДАЕВСКАЯ,БАДАЕВСКАЯ,3320,16.10.2000,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
ЛЕТНИЙ,ЛЕТНИЙ,1220,01.08.2000,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
ГАМЗИНО,ГАМЗИНО,5450,08.04.2003,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
СУОЯРВИ 2,СУОЯРВИ 2,2630,01.08.2000,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
БОЛОГОЕ-ПОЛ,БОЛОГОЕ-ПОЛОЦКОЕ,5010,01.08.2000,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
БЕЛОМОРСК,БЕЛОМОРСК,1300,10.04.2003,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
ПОЛА,ПОЛА,5610,01.08.2000,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
ПОДБОРОВЬЕ,ПОДБОРОВЬЕ,4680,01.08.2000,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
ПЕРИ,ПЕРИ,3770,01.08.2000,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
ПАША,ПАША,4890,01.08.2000,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
ВАСИЛЬЕВ.МОХ,ВАСИЛЬЕВСКИЙ МОХ,6180,01.08.2000,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
РЕШЕТНИКОВО,РЕШЕТНИКОВО,6110,01.08.2000,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
РЕДКИНО,РЕДКИНО,6140,01.08.2000,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
КРАСНЫЙ ХОЛМ,КРАСНЫЙ ХОЛМ,5130,01.12.2003,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
ЕНА,ЕНА,1520,01.08.2000,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
КАНДАЛАКША,КАНДАЛАКША,1490,01.08.2000,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
ПИЙТСИЕКИ,ПИЙТСИЕКИ,2590,01.08.2000,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
ЗУБЦОВ,ЗУБЦОВ,6350,01.12.2003,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
МАЛ.ВИШЕРА,МАЛАЯ ВИШЕРА,4160,01.08.2000,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
ЛЕСОГОРСКИЙ,ЛЕСОГОРСКИЙ,2200,01.08.2000,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
ПОРОСОЗЕРО,ПОРОСОЗЕРО,2670,01.08.2000,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
ПОЛЮСТРОВО,ПОЛЮСТРОВО,3730,16.10.2000,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
ЗАВИДОВО,ЗАВИДОВО,6130,01.08.2000,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
КЛИН,КЛИН,6090,01.08.2000,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
БОЛЬШОЙ ДВОР,БОЛЬШОЙ ДВОР,4740,01.08.2000,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
СУЩЕВО,СУЩЕВО,5710,01.08.2000,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
БЕРЕЗКИ,БЕРЕЗКИ,7000,01.01.1900,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
ТАРКОВИЧИ,ТАРКОВИЧИ,5860,01.08.2000,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
ПОРХОВ,ПОРХОВ,5770,01.08.2000,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
СУДА,СУДА,4600,01.08.2000,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
АНДРЕЕВО,АНДРЕЕВО,4560,01.08.2000,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
ГАТЧ-ПАС-БАЛ,ГАТЧИНА-ПАССАЖИРСКАЯ-БАЛТИЙСК,3410,01.08.2000,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
БЕЛООСТРОВ,БЕЛООСТРОВ,3920,01.08.2000,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
КАДУЙ,КАДУЙ,4610,01.08.2000,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
ВЕСЬЕГОНСК,ВЕСЬЕГОНСК,5160,01.08.2000,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
КЕСОВА ГОРА,КЕСОВА ГОРА,5100,01.08.2000,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
ЛАДВА,ЛАДВА,4970,01.08.2000,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
ПОГОР.ГОРОД,ПОГОРЕЛОЕ ГОРОДИЩЕ,6340,01.08.2000,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
ПЕСТОВО,ПЕСТОВО,4290,08.04.2003,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
САНДОВО,САНДОВО,4280,09.04.2003,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
НОВ. ПОРТ,НОВЫЙ ПОРТ,3580,01.01.1900,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
ПЕСЬ,ПЕСЬ,4400,08.04.2003,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
СВИРЬ,СВИРЬ,4940,03.12.2001,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
БУДОГОЩЬ,БУДОГОЩЬ,4500,08.04.2003,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
КОТОВО,КОТОВО,5410,08.04.2003,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
НАРВСКАЯ,НАРВСКАЯ,3570,16.10.2000,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
КРАСНОФЛОТСК,КРАСНОФЛОТСК,7490,01.08.2000,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
УСТЬ-ЛУГА,УСТЬ-ЛУГА,7450,01.08.2000,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
ТЕРЕШКИНО,ТЕРЕШКИНО,6420,01.08.2000,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
ВЛАД.ЛАГЕРЬ,ВЛАДИМИРСКИЙ ЛАГЕРЬ,7140,01.08.2000,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
ДАЧА ДОЛГОР.,ДАЧА ДОЛГОРУКОВА,3710,16.10.2000,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
ТОРОПЕЦ,ТОРОПЕЦ,6770,01.12.2003,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
ЛУГА 1,ЛУГА 1,7200,01.08.2000,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
ПИКАЛЕВО 1,ПИКАЛЕВО 1,4730,01.08.2000,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
БРУСОВО,БРУСОВО,5210,01.08.2000,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
ГУЗЯТИНО,ГУЗЯТИНО,5480,01.08.2000,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
КОЛИ,КОЛИ,4710,01.08.2000,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
МОРИНО,МОРИНО,5660,01.08.2000,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
ДОРОНИНСКАЯ,ДОРОНИНСКАЯ,6170,23.06.1999,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
КРЮКОВО,КРЮКОВО,6050,01.08.2000,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
ЗАБОРЬЕ,ЗАБОРЬЕ,4670,01.08.2000,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
ЭССОЙЛА,ЭССОЙЛА,2550,01.08.2000,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
НОВОЛИСИНО,НОВОЛИСИНО,3230,01.08.2000,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
ПЕЛЛА,ПЕЛЛА,3060,01.08.2000,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
КИВИЯР(ЭКС),КИВИЯРВИ (ЭКСП.),2810,27.10.2007,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
ЕФИМОВСКАЯ,ЕФИМОВСКАЯ,4700,01.08.2000,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
ФРЕЗЕРНЫЙ,ФРЕЗЕРНЫЙ,3380,01.08.2000,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
ОРЕХОВО,ОРЕХОВО,3780,01.08.2000,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
САМОЛУКОВО,САМОЛУКОВО,5690,01.08.2000,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
ПЛЮССА,ПЛЮССА,7160,01.08.2000,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
БОРОВИЧИ,БОРОВИЧИ,5350,07.05.2008,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
ГАРНЕЯ,ГАРНЕЯ,6520,01.03.2000,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
ОСТРОВ,ОСТРОВ,7020,01.08.2000,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
ВЫРИЦА,ВЫРИЦА,5900,01.08.2000,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
ОНЕЖСКИЙ-ПЕР,ОНЕЖСКИЙ-ПЕРЕВАЛКА,4690,02.02.2001,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
УДОМЛЯ,УДОМЛЯ,5230,01.08.2000,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
ВРУДА,ВРУДА,7380,01.08.2000,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
РАНЦЕВО,РАНЦЕВО,6870,01.08.2000,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
СУДОМА,СУДОМА,5720,01.08.2000,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
ПОДСЕВЫ,ПОДСЕВЫ,5760,01.08.2000,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
МОНЧАЛОВО,МОНЧАЛОВО,6430,01.08.2000,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
НОВОИЗБОРСК,НОВОИЗБОРСК,7080,01.08.2000,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
КОТЛЫ,КОТЛЫ,7460,01.08.2000,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
ЗАВАРУЙКА,ЗАВАРУЙКА,6620,01.08.2000,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
БОРОВАЯ,БОРОВАЯ,2830,01.08.2000,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
НОВОСОКОЛЬН.,НОВОСОКОЛЬНИКИ,6660,01.08.2000,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
СУМСК.ПОСАД,СУМСКИЙ ПОСАД,1270,01.08.2000,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
БЕЖЕЦК,БЕЖЕЦК,5170,01.01.1900,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
СЕБЕЖ,СЕБЕЖ,6610,01.08.2000,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
ВЯРТСИЛЯ,ВЯРТСИЛЯ,2410,01.05.2006,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
ПЕЧОРЫ-ПСКОВ,ПЕЧОРЫ-ПСКОВСКИЕ,7070,01.05.2006,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
ЛОДЕЙН.ПОЛЕ,ЛОДЕЙНОЕ ПОЛЕ,4910,01.08.2000,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
МЮЛЛЮПЕЛЬТО,МЮЛЛЮПЕЛЬТО,2290,30.05.2003,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
ХАРЛУ,ХАРЛУ,2510,10.04.2003,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
ПОДДУБЬЕ,ПОДДУБЬЕ,5390,08.04.2003,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
ЛЯСКЕЛЯ,ЛЯСКЕЛЯ,2500,08.04.2003,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
ИЛЬИНСКАЯ,ИЛЬИНСКАЯ,2450,08.04.2003,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
НЕБОЛЧИ,НЕБОЛЧИ,4450,08.04.2003,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
СОРТАВАЛА,СОРТАВАЛА,2370,10.04.2003,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
ЛЕППЯСИЛТА,ЛЕППЯСИЛТА,2490,08.04.2003,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
ВЫСОЦК ПЕР,ВЫСОЦК ПЕРЕВАЛКА,2350,01.06.2006,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
МУЕЗЕРКА,МУЕЗЕРКА,2760,01.08.2000,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
КОСТОМУКША-Т,КОСТОМУКША-ТОВАРНАЯ,2780,01.08.2000,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
МУРМАШИ,МУРМАШИ,1710,01.08.2000,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
ВОЗРОЖДЕНИЕ,ВОЗРОЖДЕНИЕ,2160,01.08.2000,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
НЕВДУБСТРОЙ,НЕВДУБСТРОЙ,3010,01.08.2000,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
НИКЕЛЬ-МУРМ.,НИКЕЛЬ-МУРМАНСКИЙ,1820,01.08.2000,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
БОРОВИНКА,БОРОВИНКА,2250,01.08.2000,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
ПЯЙВЕ,ПЯЙВЕ,1730,01.08.2000,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
ШУЙСКАЯ,ШУЙСКАЯ,1040,01.08.2000,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
КОНДОПОГА,КОНДОПОГА,1070,01.08.2000,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
МЕДВ.ГОР-ПЕР,МЕДВЕЖЬЯ ГОРА-ПЕРЕВАЛКА,1280,01.09.2006,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
ШАПКИ,ШАПКИ,3150,01.08.2000,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
ЛОЙМОЛА,ЛОЙМОЛА,2600,01.08.2000,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
ИДЕЛЬ,ИДЕЛЬ,1210,01.10.2002,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
ЖАРКОВСКИЙ,ЖАРКОВСКИЙ,6500,01.08.2000,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
СЛАНЦЫ,СЛАНЦЫ,7300,01.08.2000,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
РАЙКОНКОСКИ,РАЙКОНКОСКИ,2610,01.08.2000,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
ПОДСОЛНЕЧНАЯ,ПОДСОЛНЕЧНАЯ,6080,27.08.2008,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
СТ.ПЕТЕРГОФ,СТАРЫЙ ПЕТЕРГОФ,7550,01.08.2000,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
